fixture_id,match_number,stage,group,matchday,kickoff_utc,venue_key,home_team,away_team,home_code,away_code,home_score,away_score,winner_code,played
WC26-M024,24,group,K,1,2026-06-18T02:00:00Z,Mexico City Stadium,Uzbekistan,Colombia,UZB,COL,1,3,COL,True
WC26-M025,25,group,A,2,2026-06-18T16:00:00Z,Atlanta Stadium,Czechia,South Africa,CZE,RSA,1,1,,True
WC26-M026,26,group,B,2,2026-06-18T19:00:00Z,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,SUI,BIH,4,1,SUI,True
WC26-M027,27,group,B,2,2026-06-18T22:00:00Z,BC Place Vancouver,Canada,Qatar,CAN,QAT,6,0,CAN,True
WC26-M028,28,group,A,2,2026-06-19T01:00:00Z,Guadalajara Stadium,Mexico,Korea Republic,MEX,KOR,1,0,MEX,True
WC26-M032,32,group,D,2,2026-06-19T19:00:00Z,Seattle Stadium,USA,Australia,USA,AUS,2,0,USA,True
WC26-M030,30,group,C,2,2026-06-19T22:00:00Z,Boston Stadium,Scotland,Morocco,SCO,MAR,0,1,MAR,True
WC26-M029,29,group,C,2,2026-06-20T00:30:00Z,Philadelphia Stadium,Brazil,Haiti,BRA,HAI,3,0,BRA,True
WC26-M031,31,group,D,2,2026-06-20T03:00:00Z,San Francisco Bay Area Stadium,Türkiye,Paraguay,TUR,PAR,0,1,PAR,True
WC26-M035,35,group,F,2,2026-06-20T17:00:00Z,Houston Stadium,Netherlands,Sweden,NED,SWE,5,1,NED,True
WC26-M033,33,group,E,2,2026-06-20T20:00:00Z,Toronto Stadium,Germany,Côte d'Ivoire,GER,CIV,2,1,GER,True
WC26-M034,34,group,E,2,2026-06-21T00:00:00Z,Kansas City Stadium,Ecuador,Curaçao,ECU,CUW,0,0,,True
WC26-M036,36,group,F,2,2026-06-21T04:00:00Z,Monterrey Stadium,Tunisia,Japan,TUN,JPN,0,4,JPN,True
WC26-M038,38,group,H,2,2026-06-21T16:00:00Z,Atlanta Stadium,Spain,Saudi Arabia,ESP,KSA,4,0,ESP,True
WC26-M039,39,group,G,2,2026-06-21T19:00:00Z,Los Angeles Stadium,Belgium,IR Iran,BEL,IRN,0,0,,True
WC26-M037,37,group,H,2,2026-06-21T22:00:00Z,Miami Stadium,Uruguay,Cabo Verde,URU,CPV,2,2,,True
WC26-M040,40,group,G,2,2026-06-22T01:00:00Z,BC Place Vancouver,New Zealand,Egypt,NZL,EGY,1,3,EGY,True
WC26-M043,43,group,J,2,2026-06-22T17:00:00Z,Dallas Stadium,Argentina,Austria,ARG,AUT,2,0,ARG,True
WC26-M042,42,group,I,2,2026-06-22T21:00:00Z,Philadelphia Stadium,France,Iraq,FRA,IRQ,3,0,FRA,True
WC26-M041,41,group,I,2,2026-06-23T00:00:00Z,New York/New Jersey Stadium,Norway,Senegal,NOR,SEN,3,2,NOR,True
WC26-M044,44,group,J,2,2026-06-23T03:00:00Z,San Francisco Bay Area Stadium,Jordan,Algeria,JOR,ALG,1,2,ALG,True
WC26-M047,47,group,K,2,2026-06-23T17:00:00Z,Houston Stadium,Portugal,Uzbekistan,POR,UZB,5,0,POR,True
WC26-M045,45,group,L,2,2026-06-23T20:00:00Z,Boston Stadium,England,Ghana,ENG,GHA,0,0,,True
WC26-M046,46,group,L,2,2026-06-23T23:00:00Z,Toronto Stadium,Panama,Croatia,PAN,CRO,0,1,CRO,True
WC26-M048,48,group,K,2,2026-06-24T02:00:00Z,Guadalajara Stadium,Colombia,Congo DR,COL,COD,1,0,COL,True
WC26-M051,51,group,B,3,2026-06-24T19:00:00Z,BC Place Vancouver,Switzerland,Canada,SUI,CAN,2,1,SUI,True
